Title,Company,Salary_Range
Digital Marketing Intern,"<a class=""text-loading-animate text-loading-animate-link"" href=""/company/wow-effect-communications-16641e3afe3187"">
Wow Effect Communications
</a>","75,000 - 150,000"
Marketer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Travellaider"" rel=""nofollow"">
Travellaider
</a>","150,000 - 250,000"
Digital Marketing Executive,"<a class=""text-loading-animate text-loading-animate-link"" href=""/company/wow-effect-communications-16641e3afe3187"">
Wow Effect Communications
</a>","150,000 - 250,000"
DevOps Practitioner,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Pairview%20Ltd"" rel=""nofollow"">
Pairview Ltd
</a>","150,000 - 250,000"
Artificial Intelligence/Machine Learning Engineer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Palm%20Spring%20City%20West%20Africa"" rel=""nofollow"">
Palm Spring City West Africa
</a>","75,000 - 150,000"
Front End Developer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Krystal%20Digital%20Solutions%20Limited"" rel=""nofollow"">
Krystal Digital Solutions Limited
</a>","75,000 - 150,000"
Inventory Management & Data Analyst,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=CallTel%20Communications%20Limited"" rel=""nofollow"">
CallTel Communications Limited
</a>","75,000 - 150,000"
Mobile App Developer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/company/e-directng-essential-nigeria-limited-165f96d3d9dbc4"">
E-direct.ng Essential Nigeria Limited
</a>","150,000 - 250,000"
UI/UX Designer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=SMARTROB%20Technologies"" rel=""nofollow"">
SMARTROB Technologies
</a>","75,000 - 150,000"
CMMS (Computerized Maintenance Management System) Engineer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=GUC%20Limited"" rel=""nofollow"">
GUC Limited
</a>","250,000 - 400,000"
UI/UX Designer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/company/e-directng-essential-nigeria-limited-165f96d3d9dbc4"">
E-direct.ng Essential Nigeria Limited
</a>","75,000 - 150,000"
QA Game Tester,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=LUP%20Investment%20Company%20LTD"" rel=""nofollow"">
LUP Investment Company LTD
</a>","75,000 - 150,000"
Technical Product Manager,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Frontlett%20Ltd"" rel=""nofollow"">
Frontlett Ltd
</a>","75,000 - 150,000"
Data Analysis/Digital Marketing Trainer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Safehands%20Soluxions"" rel=""nofollow"">
Safehands Soluxions
</a>","Less than 75,000"
Woocomerce Developer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Frontlett%20Ltd"" rel=""nofollow"">
Frontlett Ltd
</a>","75,000 - 150,000"
Zoho One Integrator,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Frontlett%20Ltd"" rel=""nofollow"">
Frontlett Ltd
</a>","75,000 - 150,000"
WordPress Developer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Sadnan%20Delivery%20Ltd"" rel=""nofollow"">
Sadnan Delivery Ltd
</a>","75,000 - 150,000"
DevOps Engineer (AWS),"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Frontlett%20Ltd"" rel=""nofollow"">
Frontlett Ltd
</a>","75,000 - 150,000"
Web Marketers & Technical Sales Officer,"<a class=""text-loading-animate text-loading-animate-link"" href=""/jobs?q=Frontlett%20Ltd"" rel=""nofollow"">
Frontlett Ltd
</a>","75,000 - 150,000"
